Group,String,Position,ID,Voc,Isc,Vmp,Imp
2,2,3,27,41.29,9.77,33.23,9.29
2,2,4,43,47.66,9.97,39.23,9.29
2,2,5,389,41.27,9.76,33.21,9.3
2,2,6,332,41.27,9.76,33.22,9.3
2,2,7,388,47.77,10.01,39.32,9.31
2,2,8,323,47.85,10.05,39.38,9.31
2,2,9,441,47.76,10.01,39.31,9.32
2,3,0,329,47.72,9.99,39.27,9.32
2,3,1,276,47.85,10.05,39.38,9.33
2,3,2,89,47.69,9.98,39.25,9.33
2,3,3,21,47.86,10.05,39.39,9.33
2,3,4,51,47.85,10.05,39.39,9.34
2,3,5,177,47.77,10.01,39.32,9.34
2,3,6,33,47.83,10.04,39.36,9.34
2,3,7,430,47.87,10.06,39.4,9.35
2,3,8,433,47.85,10.05,39.38,9.35
2,3,9,429,47.85,10.05,39.38,9.37
2,4,0,117,47.79,10.02,39.33,9.37
2,4,1,266,47.79,10.02,39.33,9.38
2,4,2,39,47.87,10.06,39.4,9.38
2,4,3,162,47.87,10.06,39.4,9.38
2,4,4,180,47.78,10.02,39.32,9.39
2,4,5,191,47.88,10.06,39.4,9.39
2,4,6,471,47.76,10.01,39.31,9.39
2,4,7,196,47.84,10.04,39.38,9.4
2,4,8,457,47.86,10.05,39.39,9.4
2,4,9,30,47.74,10.0,39.29,9.41
3,0,0,291,47.79,10.02,39.34,9.41
3,0,1,44,47.82,10.03,39.36,9.42
3,0,2,425,47.86,10.05,39.39,9.42
3,0,3,391,47.89,10.06,39.42,9.43
3,0,4,345,47.87,10.05,39.39,9.43
3,0,5,203,47.81,10.03,39.35,9.43
3,0,6,79,47.77,10.01,39.31,9.44
3,0,7,459,47.86,10.05,39.39,9.44
3,0,8,13,47.79,10.02,39.33,9.44
3,0,9,308,47.87,10.06,39.4,9.45
3,1,0,278,47.81,10.03,39.35,9.46
3,1,1,378,47.85,10.05,39.38,9.46
3,1,2,483,47.81,10.03,39.35,9.46
3,1,3,386,47.84,10.04,39.37,9.48
3,1,4,455,47.82,10.03,39.36,9.49
3,1,5,226,47.89,10.07,39.42,9.5
3,1,6,453,47.86,10.05,39.39,9.51
3,1,7,232,47.86,10.05,39.39,9.52
3,1,8,261,47.89,10.07,39.42,9.53
3,1,9,155,47.86,10.05,39.39,9.53
3,2,0,119,51.81,13.74,42.93,12.15
3,2,1,171,43.18,13.58,35.71,12.15
3,2,2,313,43.03,13.51,35.53,12.16
3,2,3,223,52.11,13.85,43.28,12.19
3,2,4,12,51.84,13.76,42.96,12.21
3,2,5,137,52.12,13.86,43.29,12.22
3,2,6,224,51.8,13.74,42.93,12.24
3,2,7,229,43.22,13.61,35.74,12.25
3,2,8,84,51.84,13.76,42.96,12.26
3,3,0,254,43.63,13.81,36.25,12.26
3,3,1,437,38.99,13.59,32.49,12.28
3,3,2,383,43.2,13.6,35.73,12.3
3,3,3,131,43.11,13.55,35.6,12.31
3,3,4,476,43.39,13.69,35.94,12.32
3,3,5,319,43.37,13.68,35.92,12.33
3,3,6,444,43.52,13.76,36.11,12.33
3,3,7,310,52.59,14.03,43.79,12.34
3,3,8,48,43.37,13.68,35.93,12.36
3,3,9,216,52.33,13.94,43.49,12.37
3,4,0,414,43.51,13.75,36.09,12.37
3,4,1,153,43.5,13.75,36.09,12.38
3,4,2,336,52.19,13.89,43.34,12.39
3,4,3,126,51.9,13.79,43.01,12.4
3,4,4,364,43.1,13.55,35.59,12.41
3,4,5,440,51.88,13.78,43.0,12.42
3,4,6,52,39.25,13.69,32.73,12.42
3,4,7,370,43.55,13.78,36.13,12.43
3,4,8,40,52.07,13.85,43.2,12.45
3,4,9,252,43.33,13.66,35.9,12.45
4,0,0,315,39.07,13.64,32.55,12.46
4,0,1,183,43.63,13.81,36.26,12.47
4,0,2,50,43.65,13.82,36.27,12.47
4,0,3,322,43.15,13.58,35.63,12.48
4,0,4,274,52.62,14.05,43.82,12.48
4,0,5,497,39.06,13.63,32.54,12.49
4,0,6,168,39.04,13.62,32.53,12.49
4,0,7,473,51.8,13.73,42.92,12.49
4,0,8,408,39.47,13.78,32.95,12.5
4,0,9,106,38.81,13.55,32.3,12.5
4,0,10,372,43.48,13.73,36.07,12.5
4,1,0,468,51.96,13.82,43.06,12.51
4,1,1,470,43.7,13.85,36.31,12.51
4,1,2,259,43.33,13.68,35.84,12.51
4,1,3,57,38.78,13.53,32.28,12.51
4,1,4,317,43.32,13.67,35.83,12.52
4,1,5,56,39.27,13.71,32.76,12.52
4,1,6,213,51.84,13.76,42.96,12.53
4,1,7,482,43.19,13.61,35.67,12.53
4,1,8,406,43.82,13.92,36.47,12.53
4,1,9,68,43.7,13.85,36.31,12.53
4,2,0,333,39.47,13.78,32.95,12.54
4,2,1,164,43.46,13.74,36.0,12.55
4,2,2,9,38.87,13.6,32.35,12.55
4,2,3,78,39.39,13.73,32.89,12.55
4,2,4,435,43.13,13.57,35.62,12.56
4,2,5,305,38.92,13.63,32.39,12.56
4,2,6,265,39.11,13.67,32.59,12.57
4,2,7,34,43.33,13.68,35.84,12.57
4,2,8,242,51.85,13.77,42.97,12.57
4,2,9,3,52.21,13.91,43.36,12.58
4,2,10,270,43.24,13.62,35.76,12.59
4,3,0,446,43.18,13.6,35.65,12.59
4,3,1,392,52.6,14.03,43.8,12.59
4,3,2,432,43.27,13.64,35.79,12.6
4,3,3,249,39.33,13.75,32.8,12.6
4,3,4,398,43.3,13.66,35.81,12.62
4,3,5,32,43.13,13.57,35.62,12.62
4,3,6,58,43.35,13.69,35.85,12.62
4,3,7,297,43.67,13.84,36.29,12.63
4,3,8,148,52.33,13.94,43.5,12.63
4,3,9,328,39.34,13.75,32.81,12.63
4,4,0,55,52.42,13.97,43.62,12.64
4,4,1,105,52.65,14.06,43.85,12.64
4,4,2,222,52.13,13.89,43.25,12.64
4,4,3,170,43.11,13.55,35.6,12.64
4,4,4,66,39.39,13.73,32.88,12.64
4,4,5,140,39.62,13.81,33.11,12.64
